numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_dbm;canal;duree_estimee_us;timestamp_fin_s;intervalle_ms;company_id;donnees_brutes;uuid_cible;major_cible;minor_cible
332;1784208784.247257948;3007.286992;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208784.247626066;45.005;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
333;1784208785.488358021;3008.528092;dc:a6:32:65:e5:71;36;0x00;-48;37;368.000;1784208785.488726139;1241.100;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
334;1784208785.516458035;3008.556192;dc:a6:32:65:e5:71;12;0x03;-48;38;176.000;1784208785.516633987;28.100;;;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
335;1784208785.553118944;3008.592853;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208785.553487062;36.661;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
336;1784208786.757975101;3009.797709;dc:a6:32:65:e5:71;36;0x00;-48;37;368.000;1784208786.758343220;1204.856;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
337;1784208786.770426035;3009.810160;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208786.770794153;12.451;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
338;1784208786.808717012;3009.848451;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208786.809085131;38.291;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
339;1784208788.019576073;3011.059310;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208788.019944191;1210.859;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
340;1784208789.351444960;3012.391179;dc:a6:32:65:e5:71;36;0x00;-48;37;368.000;1784208789.351813078;1331.869;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
341;1784208789.378247976;3012.417982;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208789.378616095;26.803;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
342;1784208789.400042057;3012.439776;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208789.400410175;21.794;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
343;1784208790.632157087;3013.671891;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208790.632525206;1232.115;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
344;1784208790.654870033;3013.694604;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208790.655238152;22.713;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
345;1784208791.893171072;3014.932905;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208791.893539190;1238.301;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
346;1784208791.900333881;3014.940068;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208791.900702000;7.163;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
347;1784208793.170461893;3016.210196;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208793.170830011;1270.128;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
348;1784208793.195666075;3016.235400;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208793.196034193;25.204;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
349;1784208794.433990955;3017.473725;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784208794.434359074;1238.325;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
350;1784208794.443700075;3017.483434;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208794.444068193;9.709;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
351;1784208795.737528086;3018.777262;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784208795.737896204;1293.828;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0
