temps_s,rssi_dbm
87.79480028152466,-29
88.17350840568542,-29
88.54465532302856,-29
88.9113142490387,-30
89.28242993354797,-29
89.65170788764954,-29
90.03156113624573,-29
90.412513256073,-29
90.78878283500671,-29
91.16020917892456,-29
91.53375768661499,-29
91.90193176269531,-32
92.28197836875916,-31
92.65416812896729,-24
93.02932596206665,-23
93.40957546234131,-24
93.78004312515259,-24
94.1588568687439,-25
94.52832770347595,-26
94.89725661277771,-27
95.27765369415283,-27
95.68012619018555,-29
96.10001921653748,-29
96.48820757865906,-29
96.88093996047974,-29
97.27030229568481,-28
97.65806698799133,-26
98.04825758934021,-25
98.42899823188782,-24
98.80561637878418,-24
99.18699979782104,-25
99.56675004959106,-25
99.94515943527222,-26
100.32754516601562,-27
100.70844316482544,-28
101.08580207824707,-29
101.47409772872925,-29
101.84958100318909,-29
102.22457885742188,-29
102.6029953956604,-29
102.98742055892944,-29
103.3650107383728,-29
103.74507594108582,-29
104.1304075717926,-29
104.51271653175354,-29
104.89110660552979,-29
105.26910614967346,-29
105.6437680721283,-29
106.02654576301575,-29
106.40408873558044,-29
106.78654050827026,-29
107.1704466342926,-29
107.55298328399658,-29
107.934091091156,-30
108.31114149093628,-30
108.69414567947388,-30
109.0728497505188,-30
109.45155715942383,-29
109.83007311820984,-28
110.21011924743652,-26
110.60293674468994,-26
110.98766827583313,-25
111.37509822845459,-25
111.7603189945221,-25
112.14424586296082,-30
112.52050852775574,-30
112.89889311790466,-25
113.27415323257446,-25
113.64995670318604,-25
114.02662634849548,-25
114.40370893478394,-25
114.79418873786926,-26
115.19442558288574,-27
115.65906763076782,-29
116.043936252594,-29
116.42991781234741,-30
116.81871294975281,-29
117.20872783660889,-32
117.60461807250977,-30
118.01364517211914,-30
118.47796201705933,-33
119.10623025894165,-25
119.62614488601685,-24
120.15484714508057,-25
120.71502828598022,-26
121.3544054031372,-27
121.89397740364075,-28
122.30173397064209,-29
122.79838371276855,-29
123.34655094146729,-35
123.77928018569946,-43
124.26720070838928,-35
124.71072220802307,-30
125.11938548088074,-28
125.50884532928467,-23
125.89753365516663,-23
126.27642321586609,-23
126.66245102882385,-23
127.0446949005127,-24
127.41456341743469,-25
127.78234219551086,-26
128.15543031692505,-27
128.52630376815796,-27
128.89870929718018,-28
129.2813220024109,-28
129.65985918045044,-28
130.03900337219238,-28
