numero,nom,mac,debut_s,fin_s,duree_us,rssi_dbm,canal,payload_octets,type_pdu,phy
1002,Inconnu,2a:8b:66:f1:9c:88,1784210319.914941072,1784210319.915317059,376.000,-53,38,37,0x02,LE 1M
1003,Inconnu,2a:8b:66:f1:9c:88,1784210319.937272072,1784210319.937648058,376.000,-51,39,37,0x02,LE 1M
1007,Inconnu,2a:8b:66:f1:9c:88,1784210320.130491018,1784210320.130867004,376.000,-52,37,37,0x02,LE 1M
1011,Inconnu,2a:8b:66:f1:9c:88,1784210320.274023056,1784210320.274399042,376.000,-54,38,37,0x02,LE 1M
1012,Inconnu,2a:8b:66:f1:9c:88,1784210320.296236038,1784210320.296612024,376.000,-51,39,37,0x02,LE 1M
1014,Inconnu,2a:8b:66:f1:9c:88,1784210320.374155998,1784210320.374531984,376.000,-53,38,37,0x02,LE 1M
1017,Inconnu,2a:8b:66:f1:9c:88,1784210320.488512993,1784210320.488888979,376.000,-53,38,37,0x02,LE 1M
1018,Inconnu,2a:8b:66:f1:9c:88,1784210320.557406902,1784210320.557782888,376.000,-51,39,37,0x02,LE 1M
1022,Inconnu,2a:8b:66:f1:9c:88,1784210320.727843046,1784210320.728219032,376.000,-52,37,37,0x02,LE 1M
1023,Inconnu,2a:8b:66:f1:9c:88,1784210320.783585072,1784210320.783961058,376.000,-54,38,37,0x02,LE 1M
1024,Inconnu,2a:8b:66:f1:9c:88,1784210320.889404058,1784210320.889780045,376.000,-51,39,37,0x02,LE 1M
1029,Inconnu,2a:8b:66:f1:9c:88,1784210321.029356956,1784210321.029732943,376.000,-55,38,37,0x02,LE 1M
1030,Inconnu,2a:8b:66:f1:9c:88,1784210321.087642908,1784210321.088018894,376.000,-51,39,37,0x02,LE 1M
1032,Inconnu,2a:8b:66:f1:9c:88,1784210321.186604023,1784210321.186980009,376.000,-56,38,37,0x02,LE 1M
1034,Inconnu,2a:8b:66:f1:9c:88,1784210321.314091921,1784210321.314467907,376.000,-54,37,37,0x02,LE 1M
1035,Inconnu,2a:8b:66:f1:9c:88,1784210321.404743910,1784210321.405119896,376.000,-56,38,37,0x02,LE 1M
1037,Inconnu,2a:8b:66:f1:9c:88,1784210321.533716917,1784210321.534092903,376.000,-52,37,37,0x02,LE 1M
1038,Inconnu,2a:8b:66:f1:9c:88,1784210321.629769087,1784210321.630145073,376.000,-56,38,37,0x02,LE 1M
1040,Inconnu,2a:8b:66:f1:9c:88,1784210321.723505974,1784210321.723881960,376.000,-53,37,37,0x02,LE 1M
1043,Inconnu,2a:8b:66:f1:9c:88,1784210321.865111113,1784210321.865487099,376.000,-54,37,37,0x02,LE 1M
1044,Inconnu,2a:8b:66:f1:9c:88,1784210321.927011967,1784210321.927387953,376.000,-58,38,37,0x02,LE 1M
1046,Inconnu,2a:8b:66:f1:9c:88,1784210322.044939995,1784210322.045315981,376.000,-56,37,37,0x02,LE 1M
1049,Inconnu,2a:8b:66:f1:9c:88,1784210322.164736986,1784210322.165112972,376.000,-55,37,37,0x02,LE 1M
1050,Inconnu,2a:8b:66:f1:9c:88,1784210322.266916990,1784210322.267292976,376.000,-55,38,37,0x02,LE 1M
1051,Inconnu,2a:8b:66:f1:9c:88,1784210322.363893032,1784210322.364269018,376.000,-48,39,37,0x02,LE 1M
1055,Inconnu,2a:8b:66:f1:9c:88,1784210322.472224951,1784210322.472600937,376.000,-55,37,37,0x02,LE 1M
1056,Inconnu,2a:8b:66:f1:9c:88,1784210322.564202070,1784210322.564578056,376.000,-55,38,37,0x02,LE 1M
1059,Inconnu,2a:8b:66:f1:9c:88,1784210322.718995094,1784210322.719371080,376.000,-56,38,37,0x02,LE 1M
1061,Inconnu,2a:8b:66:f1:9c:88,1784210322.789237976,1784210322.789613962,376.000,-54,37,37,0x02,LE 1M
1062,Inconnu,2a:8b:66:f1:9c:88,1784210322.885720968,1784210322.886096954,376.000,-56,38,37,0x02,LE 1M
1065,Inconnu,2a:8b:66:f1:9c:88,1784210323.002702951,1784210323.003078938,376.000,-56,38,37,0x02,LE 1M
1067,Inconnu,2a:8b:66:f1:9c:88,1784210323.097614050,1784210323.097990036,376.000,-55,37,37,0x02,LE 1M
1068,Inconnu,2a:8b:66:f1:9c:88,1784210323.193248987,1784210323.193624973,376.000,-55,38,37,0x02,LE 1M
