temps_s,mode,message,rssi_dbm,puissance_w,snr_ou_intervalle,energie_totale_j
253.9270179271698,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-73 dBm | Intervalle=15.624 s,-73,5.011872336272715e-11,15.62354040145874,1.9270659723719834e-05
269.5334007740021,Beacons BLE,Beacon BLE | MAC=6D:FF:8E:28:36:0B | RSSI=-72 dBm | Intervalle=160.308 s,-72,6.309573444801942e-11,160.30801939964294,1.9270659723719834e-05
271.1356768608093,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-57 dBm | Intervalle=17.280 s,-57,1.9952623149688828e-09,17.28047752380371,1.9270659723719834e-05
285.189218044281,Beacons BLE,Beacon BLE | MAC=6D:FF:8E:28:36:0B | RSSI=-81 dBm | Intervalle=15.691 s,-81,7.943282347242821e-12,15.691416263580322,1.9270659723719834e-05
301.77981185913086,Beacons BLE,Beacon BLE | MAC=49:CA:8C:6D:BB:29 | RSSI=-61 dBm | Intervalle=16.569 s,-61,7.943282347242822e-10,16.569119453430176,1.9270659723719834e-05
302.92796564102173,Beacons BLE,Beacon BLE | MAC=6D:FF:8E:28:36:0B | RSSI=-60 dBm | Intervalle=16.961 s,-60,1e-09,16.961432218551636,1.9270659723719834e-05
306.51504492759705,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-89 dBm | Intervalle=21.271 s,-89,1.258925411794166e-12,21.270965814590454,1.9270659723719834e-05
317.1258783340454,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-70 dBm | Intervalle=10.919 s,-70,1e-10,10.918566226959229,1.9270659723719834e-05
318.2722542285919,Beacons BLE,Beacon BLE | MAC=6D:FF:8E:28:36:0B | RSSI=-37 dBm | Intervalle=15.549 s,-37,1.9952623149688787e-07,15.548725843429565,1.9270659723719834e-05
333.3763883113861,Beacons BLE,Beacon BLE | MAC=6D:FF:8E:28:36:0B | RSSI=-46 dBm | Intervalle=15.724 s,-46,2.511886431509582e-08,15.723838090896606,1.9270659723719834e-05
349.0295763015747,Beacons BLE,Beacon BLE | MAC=6D:FF:8E:28:36:0B | RSSI=-60 dBm | Intervalle=15.672 s,-60,1e-09,15.671574831008911,1.9270659723719834e-05
350.195170879364,Beacons BLE,Beacon BLE | MAC=49:CA:8C:6D:BB:29 | RSSI=-76 dBm | Intervalle=47.671 s,-76,2.5118864315095823e-11,47.67063570022583,1.9270659723719834e-05
366.33087253570557,Beacons BLE,Beacon BLE | MAC=49:CA:8C:6D:BB:29 | RSSI=-63 dBm | Intervalle=16.915 s,-63,5.011872336272714e-10,16.915116548538208,1.9270659723719834e-05
381.99486923217773,Beacons BLE,Beacon BLE | MAC=6D:FF:8E:28:36:0B | RSSI=-35 dBm | Intervalle=32.703 s,-35,3.162277660168379e-07,32.70308542251587,1.9270659723719834e-05
397.6860411167145,Beacons BLE,Beacon BLE | MAC=6D:FF:8E:28:36:0B | RSSI=-64 dBm | Intervalle=15.552 s,-64,3.9810717055349694e-10,15.552328109741211,1.9270659723719834e-05
415.8908197879791,Beacons BLE,Beacon BLE | MAC=49:CA:8C:6D:BB:29 | RSSI=-77 dBm | Intervalle=49.316 s,-77,1.9952623149688828e-11,49.31557059288025,1.9270659723719834e-05
431.09593749046326,Beacons BLE,Beacon BLE | MAC=49:CA:8C:6D:BB:29 | RSSI=-62 dBm | Intervalle=15.473 s,-62,6.309573444801942e-10,15.472771644592285,1.9270659723719834e-05
445.6979863643646,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-81 dBm | Intervalle=79.468 s,-81,7.943282347242821e-12,79.4679868221283,1.9270659723719834e-05
461.81849670410156,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-63 dBm | Intervalle=16.095 s,-63,5.011872336272714e-10,16.094700813293457,1.9270659723719834e-05
480.42563915252686,Beacons BLE,Beacon BLE | MAC=49:CA:8C:6D:BB:29 | RSSI=-80 dBm | Intervalle=49.355 s,-80,1e-11,49.354987144470215,1.9270659723719834e-05
493.00282049179077,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-78 dBm | Intervalle=31.559 s,-78,1.5848931924611107e-11,31.55856966972351,1.9270659723719834e-05
509.61833906173706,Beacons BLE,Beacon BLE | MAC=49:CA:8C:6D:BB:29 | RSSI=-66 dBm | Intervalle=28.935 s,-66,2.511886431509582e-10,28.934929609298706,1.9270659723719834e-05
542.2829191684723,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-63 dBm | Intervalle=49.098 s,-63,5.011872336272714e-10,49.09806966781616,1.9270659723719834e-05
557.4029717445374,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-54 dBm | Intervalle=15.222 s,-54,3.981071705534969e-09,15.221969842910767,1.9270659723719834e-05
559.5092303752899,Beacons BLE,Beacon BLE | MAC=76:79:33:2B:2F:17 | RSSI=-81 dBm | Intervalle=0.000 s,-81,7.943282347242821e-12,0.0,1.9270659723719834e-05
574.083254814148,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-62 dBm | Intervalle=16.588 s,-62,6.309573444801942e-10,16.58798885345459,1.9270659723719834e-05
575.7128291130066,Beacons BLE,Beacon BLE | MAC=76:79:33:2B:2F:17 | RSSI=-71 dBm | Intervalle=16.219 s,-71,7.943282347242822e-11,16.218948364257812,1.9270659723719834e-05
589.3058536052704,Beacons BLE,Beacon BLE | MAC=49:CA:8C:6D:BB:29 | RSSI=-79 dBm | Intervalle=79.834 s,-79,1.2589254117941662e-11,79.83419418334961,1.9270659723719834e-05
593.970725774765,Beacons BLE,Beacon BLE | MAC=6A:84:92:50:42:BD | RSSI=-83 dBm | Intervalle=19.960 s,-83,5.011872336272715e-12,19.960187435150146,1.9270659723719834e-05
