temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
138.46975588798523,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
139.5139443874359,Beacons BLE,Beacon BLE | MAC=66:E7:0F:5C:77:B2,-59,1.2589254117941663e-09,,3.004175255885922e-05
140.55859184265137,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
141.59251403808594,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
142.6257848739624,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
143.65162181854248,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
144.67524361610413,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
145.71086597442627,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
146.7352261543274,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
147.80881595611572,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
148.84310150146484,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
149.86730241775513,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
150.8905680179596,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
151.9134500026703,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
152.9917607307434,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
154.03328013420105,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
155.0838840007782,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
156.127206325531,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-77,1.9952623149688828e-11,,3.004175255885922e-05
157.17071151733398,Beacons BLE,Beacon BLE | MAC=4B:5D:37:41:5C:20,-65,3.1622776601683795e-10,,3.004175255885922e-05
158.2217311859131,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-61,7.943282347242822e-10,,3.004175255885922e-05
159.26640152931213,Beacons BLE,Beacon BLE | MAC=48:E2:D3:84:F9:DA,-61,7.943282347242822e-10,,3.004175255885922e-05
160.30966448783875,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
161.36527013778687,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
162.41019558906555,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
163.51537442207336,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
164.55983138084412,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
165.60079789161682,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
166.64132976531982,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
167.69061732292175,Beacons BLE,Beacon BLE | MAC=4A:48:52:37:4B:34,-75,3.1622776601683794e-11,,3.004175255885922e-05
