numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
7738,1784085454.629755974,1784085454.630100012,344.000,eb:87:0f:26:d4:23,-89,37,33,0x00,LE 1M
7739,1784085454.665740013,1784085454.666115999,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7740,1784085454.689897060,1784085454.690201044,304.000,5d:9d:6f:a8:90:a8,-54,39,28,0x00,LE 1M
7741,1784085454.712471962,1784085454.712775946,304.000,5d:9d:6f:a8:90:a8,-46,37,28,0x00,LE 1M
7742,1784085454.730552912,1784085454.730856895,304.000,5d:9d:6f:a8:90:a8,-48,38,28,0x00,LE 1M
7743,1784085454.747994900,1784085454.748274803,280.000,5b:02:fa:84:93:7f,-96,39,25,0x00,LE 1M
7744,1784085454.775641918,1784085454.776017904,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7745,1784085454.819807053,1784085454.820183039,376.000,e0:90:b5:2d:f2:73,-48,38,37,0x00,LE 1M
7746,1784085454.851902008,1784085454.852037907,136.000,inconnue,-78,39,7,0x07,LE 1M
7747,1784085454.868458033,1784085454.868834019,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7748,1784085454.901002884,1784085454.901306868,304.000,5d:9d:6f:a8:90:a8,-48,38,28,0x00,LE 1M
7749,1784085454.927700043,1784085454.928004026,304.000,5d:9d:6f:a8:90:a8,-54,39,28,0x00,LE 1M
7750,1784085454.954651117,1784085454.954955101,304.000,5d:9d:6f:a8:90:a8,-46,37,28,0x00,LE 1M
7751,1784085454.981475115,1784085454.981851101,376.000,e0:90:b5:2d:f2:73,-49,38,37,0x00,LE 1M
7752,1784085455.008503914,1784085455.008639812,136.000,inconnue,-76,39,7,0x07,LE 1M
7753,1784085455.030987978,1784085455.031363964,376.000,e0:90:b5:2d:f2:73,-46,37,37,0x00,LE 1M
7754,1784085455.064369917,1784085455.064745903,376.000,e0:90:b5:2d:f2:73,-49,38,37,0x00,LE 1M
7755,1784085455.108494997,1784085455.108870983,376.000,e0:90:b5:2d:f2:73,-55,39,37,0x00,LE 1M
7756,1784085455.131103039,1784085455.131407022,304.000,5d:9d:6f:a8:90:a8,-47,37,28,0x00,LE 1M
7757,1784085455.172327995,1784085455.172463894,136.000,inconnue,-51,38,7,0x07,LE 1M
7758,1784085455.199213982,1784085455.199589968,376.000,e0:90:b5:2d:f2:73,-54,39,37,0x00,LE 1M
7759,1784085455.226161003,1784085455.226536989,376.000,e0:90:b5:2d:f2:73,-47,37,37,0x00,LE 1M
7760,1784085455.258677006,1784085455.259052992,376.000,e0:90:b5:2d:f2:73,-49,38,37,0x00,LE 1M
7761,1784085455.291203022,1784085455.291507006,304.000,5d:9d:6f:a8:90:a8,-53,39,28,0x00,LE 1M
