RAPPORT D'ACQUISITION BLE V4
============================

Date : 2026-07-13 20:11:12.715880
Matériel : Adafruit Bluefruit LE Sniffer nRF51822
PHY : LE 1M
Filtre : inconnue
Nombre d'appareils détectés : 117
Nombre de trames analysées : 377

DURÉE DES TRAMES
-----------------
Durée moyenne : 136.255 µs
Durée minimale : 96.000 µs
Durée maximale : 272.000 µs

RSSI
----
RSSI moyen : -62.83 dBm
RSSI minimal : -94 dBm
RSSI maximal : -52 dBm

RÉPARTITION PAR CANAL
---------------------
Canal 37 : 126 trames
Canal 38 : 121 trames
Canal 39 : 130 trames

APPAREILS DÉTECTÉS
-------------------
Inconnu | 47:59:95:84:c9:46 | 1 trames | RSSI moyen=-84 | Durée moyenne=280.0 µs
Inconnu | 07:59:95:84:cd:56 | 1 trames | RSSI moyen=-84 | Durée moyenne=280.0 µs
Inconnu | e8:e4:7d:2f:8d:33 | 1 trames | RSSI moyen=-82 | Durée moyenne=344.0 µs
Inconnu | 53:a4:dc:39:5f:58 | 1 trames | RSSI moyen=-91 | Durée moyenne=280.0 µs
Inconnu | 7f:e4:8c:4b:2c:d3 | 1 trames | RSSI moyen=-92 | Durée moyenne=272.0 µs
Inconnu | 7f:e4:8c:4b:2e:d2 | 1 trames | RSSI moyen=-88 | Durée moyenne=272.0 µs
Inconnu | ff:c0:ce:4b:2c:d2 | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 47:59:95:84:c5:46 | 1 trames | RSSI moyen=-77 | Durée moyenne=280.0 µs
Inconnu | 7f:e5:4c:4b:2c:d6 | 1 trames | RSSI moyen=-85 | Durée moyenne=272.0 µs
Inconnu | 47:19:95:84:cd:46 | 1 trames | RSSI moyen=-79 | Durée moyenne=280.0 µs
Inconnu | f7:e4:0c:4b:2c:d6 | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 47:19:95:84:fd:46 | 1 trames | RSSI moyen=-77 | Durée moyenne=280.0 µs
Inconnu | c0:1f:bb:dd:63:b8 | 1 trames | RSSI moyen=-93 | Durée moyenne=376.0 µs
Inconnu | 53:a5:dc:39:cf:58 | 1 trames | RSSI moyen=-87 | Durée moyenne=280.0 µs
Inconnu | e1:72:ff:74:e1:2c | 1 trames | RSSI moyen=-92 | Durée moyenne=192.0 µs
Inconnu | 53:c4:dc:39:df:48 | 1 trames | RSSI moyen=-91 | Durée moyenne=280.0 µs
Inconnu | 45:59:95:80:cd:46 | 1 trames | RSSI moyen=-94 | Durée moyenne=280.0 µs
Inconnu | 7f:e4:8f:4b:2a:d2 | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 7f:e4:88:4b:2c:d2 | 1 trames | RSSI moyen=-91 | Durée moyenne=272.0 µs
Inconnu | 0f:e4:8c:4b:2c:d2 | 1 trames | RSSI moyen=-85 | Durée moyenne=144.0 µs
Inconnu | 47:59:95:84:cd:c6 | 1 trames | RSSI moyen=-86 | Durée moyenne=280.0 µs
Inconnu | 47:59:95:84:cd:56 | 1 trames | RSSI moyen=-83 | Durée moyenne=280.0 µs
Inconnu | c0:1f:3b:fd:63:b9 | 1 trames | RSSI moyen=-93 | Durée moyenne=376.0 µs
Inconnu | 53:a5:dc:39:df:52 | 1 trames | RSSI moyen=-88 | Durée moyenne=408.0 µs
Inconnu | 7f:64:8c:43:2c:d2 | 1 trames | RSSI moyen=-94 | Durée moyenne=272.0 µs
Inconnu | e7:a7:8b:25:50:37 | 1 trames | RSSI moyen=-87 | Durée moyenne=192.0 µs
Inconnu | 7f:e4:8c:4b:6a:d2 | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 47:59:95:84:cd:44 | 1 trames | RSSI moyen=-82 | Durée moyenne=280.0 µs
Inconnu | 53:a4:dc:39:df:5a | 1 trames | RSSI moyen=-89 | Durée moyenne=280.0 µs
Inconnu | 7f:e4:8c:4b:2c:92 | 1 trames | RSSI moyen=-83 | Durée moyenne=272.0 µs
Inconnu | 47:5b:15:84:cd:46 | 1 trames | RSSI moyen=-95 | Durée moyenne=280.0 µs
