index;device_id;canonical_uuid;address;start_epoch;end_epoch;span_ms;interval_ms;packet_count;channels;pdu_types;length_mean_bytes;rssi_mean_dbm;total_airtime_us;event_energy_j;event_energy_nj;cumulative_energy_j;cumulative_energy_nj
1675;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;4e:ee:20:af:66:bd;1784762375.412175;1784762375.412175;0.0;21.893978118896484;1;39;ADV_IND;33;-75.0;344.0;1.0878235150979225e-14;1.0878235150979224e-05;1.9419642520737744e-11;0.019419642520737745
1676;Appareil_011;apple:appareil apple ble:76:35:75:41:2a:1a;76:35:75:41:2a:1a;1784762375.45413;1784762375.45413;0.0;832.1249485015869;1;37;ADV_IND;25;-81.0;280.0;2.22411905722799e-15;2.22411905722799e-06;3.142708735014109e-14;3.142708735014109e-05
1677;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;5c:37:11:34:82:9e;1784762375.505063;1784762375.505063;0.0;229.9480438232422;1;38;ADV_IND;36;-66.0;368.0;9.243742067955261e-14;9.24374206795526e-05;4.350574133985757e-11;0.043505741339857566
1678;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;5c:37:11:34:82:9e;1784762375.531714;1784762375.531714;0.0;26.65090560913086;1;39;ADV_IND;36;-75.0;368.0;1.1637181789419636e-14;1.1637181789419635e-05;4.351737852164699e-11;0.04351737852164699
1679;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;6e:b9:6e:2b:30:5e;1784762375.554135;1784762375.554135;0.0;22.42112159729004;1;37;ADV_IND;36;-67.0;368.0;7.342565319085489e-14;7.342565319085489e-05;4.3590804174837845e-11;0.04359080417483784
1680;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;6e:b9:6e:2b:30:5e;1784762375.591139;1784762375.591139;0.0;37.00399398803711;1;38;ADV_IND;36;-67.0;368.0;7.342565319085489e-14;7.342565319085489e-05;4.36642298280287e-11;0.0436642298280287
1681;Appareil_002;00112233-4455-6677-8899-aabbccddeeff;6e:b9:6e:2b:30:5e;1784762375.62297;1784762375.62297;0.0;31.831026077270508;1;39;ADV_IND;36;-74.0;368.0;1.4650343876368688e-14;1.4650343876368689e-05;4.367888017190507e-11;0.04367888017190507
1682;Appareil_003;apple:appareil apple ble:73:e1:5b:d3:09:fa;73:e1:5b:d3:09:fa;1784762375.644648;1784762375.644648;0.0;315.22202491760254;1;37;ADV_IND;34;-68.0;352.0;5.57882403746311e-14;5.5788240374631104e-05;2.1316043600661445e-11;0.021316043600661444
1683;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;4e:ee:20:af:66:bd;1784762375.676864;1784762375.676864;0.0;264.68896865844727;1;38;ADV_IND;33;-66.0;344.0;8.640889324392961e-14;8.64088932439296e-05;1.9506051413981673e-11;0.019506051413981672
1684;Appareil_001;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;4e:ee:20:af:66:bd;1784762375.703642;1784762375.703642;0.0;26.777982711791992;1;39;ADV_IND;33;-75.0;344.0;1.0878235150979225e-14;1.0878235150979224e-05;1.9516929649132653e-11;0.019516929649132653
