timestamp_iso;device_id;ancien_niveau;nouveau_niveau;grandeur;valeur;unite
2026-07-23T00:47:20.581508;Appareil_002;ORANGE;ROUGE;RSSI;-55.0;dBm
2026-07-23T00:47:20.589049;Appareil_002;ROUGE;ORANGE;RSSI;-60.0;dBm
2026-07-23T00:47:20.739733;Appareil_001;ORANGE;ROUGE;RSSI;-54.0;dBm
2026-07-23T00:47:20.756442;Appareil_001;ROUGE;ORANGE;RSSI;-59.0;dBm
2026-07-23T00:47:20.767605;Appareil_001;ORANGE;ROUGE;RSSI;-54.0;dBm
2026-07-23T00:47:20.875529;Appareil_001;ROUGE;ORANGE;RSSI;-59.0;dBm
2026-07-23T00:47:20.884916;Appareil_002;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:47:20.992825;Appareil_002;ROUGE;ORANGE;RSSI;-58.0;dBm
2026-07-23T00:47:21.141680;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:47:21.159176;Appareil_001;ROUGE;ORANGE;RSSI;-57.0;dBm
2026-07-23T00:47:21.168461;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:47:21.182033;Appareil_001;ROUGE;ORANGE;RSSI;-58.0;dBm
2026-07-23T00:47:21.291309;Appareil_002;ORANGE;ROUGE;RSSI;-52.0;dBm
2026-07-23T00:47:21.299240;Appareil_002;ROUGE;ORANGE;RSSI;-58.0;dBm
2026-07-23T00:47:21.517314;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:47:21.530332;Appareil_001;ROUGE;ORANGE;RSSI;-58.0;dBm
2026-07-23T00:47:21.780635;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:47:21.896107;Appareil_001;ROUGE;ORANGE;RSSI;-57.0;dBm
2026-07-23T00:47:21.904991;Appareil_001;ORANGE;ROUGE;RSSI;-52.0;dBm
2026-07-23T00:47:22.022178;Appareil_001;ROUGE;ORANGE;RSSI;-57.0;dBm
2026-07-23T00:47:22.034623;Appareil_002;ORANGE;ROUGE;RSSI;-52.0;dBm
2026-07-23T00:47:22.043885;Appareil_002;ROUGE;ORANGE;RSSI;-57.0;dBm
2026-07-23T00:47:22.157433;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:47:22.270862;Appareil_001;ROUGE;ORANGE;RSSI;-58.0;dBm
2026-07-23T00:47:22.280190;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:47:22.412605;Appareil_001;ROUGE;ORANGE;RSSI;-58.0;dBm
2026-07-23T00:47:22.428675;Appareil_002;ORANGE;ROUGE;RSSI;-51.0;dBm
2026-07-23T00:47:22.439096;Appareil_002;ROUGE;ORANGE;RSSI;-58.0;dBm
2026-07-23T00:47:22.554265;Appareil_001;ORANGE;ROUGE;RSSI;-53.0;dBm
2026-07-23T00:47:22.568028;Appareil_001;ROUGE;ORANGE;RSSI;-58.0;dBm
