temps_s,mode,message,rssi_dbm,puissance_w,snr_ou_intervalle,energie_totale_j
212.9378683567047,Wi-Fi 2.4 GHz,"PAQUET,3098,TAILLE,22,Welcome to new project",-45,3.162277660168379e-08,,7.392265377191218e-05
218.03681230545044,Wi-Fi 2.4 GHz,"PAQUET,3099,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-43,5.011872336272725e-08,,7.392265377191218e-05
222.63911247253418,Wi-Fi 2.4 GHz,"PAQUET,3100,TAILLE,22,Welcome to new project",-43,5.011872336272725e-08,,7.392265377191218e-05
227.69249272346497,Wi-Fi 2.4 GHz,"PAQUET,3101,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-43,5.011872336272725e-08,,7.392265377191218e-05
232.80028438568115,Wi-Fi 2.4 GHz,"PAQUET,3102,TAILLE,22,Welcome to new project",-43,5.011872336272725e-08,,7.392265377191218e-05
237.88840556144714,Wi-Fi 2.4 GHz,"PAQUET,3103,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-47,1.9952623149688786e-08,,7.392265377191218e-05
242.98574137687683,Wi-Fi 2.4 GHz,"PAQUET,3104,TAILLE,22,Welcome to new project",-47,1.9952623149688786e-08,,7.392265377191218e-05
247.59970545768738,Wi-Fi 2.4 GHz,"PAQUET,3105,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-46,2.511886431509582e-08,,7.392265377191218e-05
252.7035629749298,Wi-Fi 2.4 GHz,"PAQUET,3106,TAILLE,22,Welcome to new project",-47,1.9952623149688786e-08,,7.392265377191218e-05
257.8161642551422,Wi-Fi 2.4 GHz,"PAQUET,3107,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-44,3.981071705534969e-08,,7.392265377191218e-05
262.43842935562134,Wi-Fi 2.4 GHz,"PAQUET,3108,TAILLE,22,Welcome to new project",-42,6.30957344480193e-08,,7.392265377191218e-05
267.51035618782043,Wi-Fi 2.4 GHz,"PAQUET,3109,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-42,6.30957344480193e-08,,7.392265377191218e-05
272.63984990119934,Wi-Fi 2.4 GHz,"PAQUET,3110,TAILLE,22,Welcome to new project",-45,3.162277660168379e-08,,7.392265377191218e-05
277.7462511062622,Wi-Fi 2.4 GHz,"PAQUET,3111,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-42,6.30957344480193e-08,,7.392265377191218e-05
282.85942006111145,Wi-Fi 2.4 GHz,"PAQUET,3112,TAILLE,22,Welcome to new project",-40,1e-07,,7.392265377191218e-05
287.4713976383209,Wi-Fi 2.4 GHz,"PAQUET,3113,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-37,1.9952623149688787e-07,,7.392265377191218e-05
292.60809993743896,Wi-Fi 2.4 GHz,"PAQUET,3114,TAILLE,22,Welcome to new project",-37,1.9952623149688787e-07,,7.392265377191218e-05
297.74019479751587,Wi-Fi 2.4 GHz,"PAQUET,3115,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-37,1.9952623149688787e-07,,7.392265377191218e-05
302.8687422275543,Wi-Fi 2.4 GHz,"PAQUET,3116,TAILLE,22,Welcome to new project",-36,2.5118864315095823e-07,,7.392265377191218e-05
307.496262550354,Wi-Fi 2.4 GHz,"PAQUET,3117,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-40,1e-07,,7.392265377191218e-05
312.5821182727814,Wi-Fi 2.4 GHz,"PAQUET,3118,TAILLE,22,Welcome to new project",-47,1.9952623149688786e-08,,7.392265377191218e-05
317.7224726676941,Wi-Fi 2.4 GHz,"PAQUET,3119,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-35,3.162277660168379e-07,,7.392265377191218e-05
322.8640639781952,Wi-Fi 2.4 GHz,"PAQUET,3120,TAILLE,22,Welcome to new project",-37,1.9952623149688787e-07,,7.392265377191218e-05
327.49160981178284,Wi-Fi 2.4 GHz,"PAQUET,3121,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-46,2.511886431509582e-08,,7.392265377191218e-05
332.6258735656738,Wi-Fi 2.4 GHz,"PAQUET,3122,TAILLE,22,Welcome to new project",-41,7.943282347242822e-08,,7.392265377191218e-05
337.25070977211,Wi-Fi 2.4 GHz,"PAQUET,3123,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-43,5.011872336272725e-08,,7.392265377191218e-05
342.35028767585754,Wi-Fi 2.4 GHz,"PAQUET,3124,TAILLE,22,Welcome to new project",-49,1.2589254117941661e-08,,7.392265377191218e-05
347.95225620269775,Wi-Fi 2.4 GHz,"PAQUET,3125,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-49,1.2589254117941661e-08,,7.392265377191218e-05
352.6019377708435,Wi-Fi 2.4 GHz,"PAQUET,3126,TAILLE,22,Welcome to new project",-46,2.511886431509582e-08,,7.392265377191218e-05
357.74547147750854,Wi-Fi 2.4 GHz,"PAQUET,3127,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-56,2.511886431509582e-09,,7.392265377191218e-05
367.9059145450592,Wi-Fi 2.4 GHz,"PAQUET,3129,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-59,1.2589254117941663e-09,,7.392265377191218e-05
377.5548007488251,Wi-Fi 2.4 GHz,"PAQUET,3131,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-58,1.584893192461111e-09,,7.392265377191218e-05
382.6914074420929,Wi-Fi 2.4 GHz,"PAQUET,3132,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
387.3399407863617,Wi-Fi 2.4 GHz,"PAQUET,3133,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-51,7.943282347242822e-09,,7.392265377191218e-05
392.5214283466339,Wi-Fi 2.4 GHz,"PAQUET,3134,TAILLE,22,Welcome to new project",-36,2.5118864315095823e-07,,7.392265377191218e-05
397.6742935180664,Wi-Fi 2.4 GHz,"PAQUET,3135,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-40,1e-07,,7.392265377191218e-05
402.3200161457062,Wi-Fi 2.4 GHz,"PAQUET,3136,TAILLE,22,Welcome to new project",-42,6.30957344480193e-08,,7.392265377191218e-05
407.4382131099701,Wi-Fi 2.4 GHz,"PAQUET,3137,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-45,3.162277660168379e-08,,7.392265377191218e-05
412.58815717697144,Wi-Fi 2.4 GHz,"PAQUET,3138,TAILLE,22,Welcome to new project",-37,1.9952623149688787e-07,,7.392265377191218e-05
417.6609709262848,Wi-Fi 2.4 GHz,"PAQUET,3139,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-37,1.9952623149688787e-07,,7.392265377191218e-05
422.7562801837921,Wi-Fi 2.4 GHz,"PAQUET,3140,TAILLE,22,Welcome to new project",-37,1.9952623149688787e-07,,7.392265377191218e-05
427.36191606521606,Wi-Fi 2.4 GHz,"PAQUET,3141,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-37,1.9952623149688787e-07,,7.392265377191218e-05
437.4482214450836,Wi-Fi 2.4 GHz,"PAQUET,3143,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-38,1.584893192461114e-07,,7.392265377191218e-05
442.5429229736328,Wi-Fi 2.4 GHz,"PAQUET,3144,TAILLE,22,Welcome to new project",-44,3.981071705534969e-08,,7.392265377191218e-05
447.6355149745941,Wi-Fi 2.4 GHz,"PAQUET,3145,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-49,1.2589254117941661e-08,,7.392265377191218e-05
452.2345941066742,Wi-Fi 2.4 GHz,"PAQUET,3146,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
457.28750348091125,Wi-Fi 2.4 GHz,"PAQUET,3147,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-46,2.511886431509582e-08,,7.392265377191218e-05
462.4281907081604,Wi-Fi 2.4 GHz,"PAQUET,3148,TAILLE,22,Welcome to new project",-51,7.943282347242822e-09,,7.392265377191218e-05
467.4660818576813,Wi-Fi 2.4 GHz,"PAQUET,3149,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-47,1.9952623149688786e-08,,7.392265377191218e-05
472.51257824897766,Wi-Fi 2.4 GHz,"PAQUET,3150,TAILLE,22,Welcome to new project",-48,1.5848931924611143e-08,,7.392265377191218e-05
477.59713220596313,Wi-Fi 2.4 GHz,"PAQUET,3151,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-48,1.5848931924611143e-08,,7.392265377191218e-05
482.20336079597473,Wi-Fi 2.4 GHz,"PAQUET,3152,TAILLE,22,Welcome to new project",-49,1.2589254117941661e-08,,7.392265377191218e-05
487.2909109592438,Wi-Fi 2.4 GHz,"PAQUET,3153,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-49,1.2589254117941661e-08,,7.392265377191218e-05
492.39004850387573,Wi-Fi 2.4 GHz,"PAQUET,3154,TAILLE,22,Welcome to new project",-49,1.2589254117941661e-08,,7.392265377191218e-05
497.4720730781555,Wi-Fi 2.4 GHz,"PAQUET,3155,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
502.5317792892456,Wi-Fi 2.4 GHz,"PAQUET,3156,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
507.08730030059814,Wi-Fi 2.4 GHz,"PAQUET,3157,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-51,7.943282347242822e-09,,7.392265377191218e-05
512.7093358039856,Wi-Fi 2.4 GHz,"PAQUET,3158,TAILLE,22,Welcome to new project",-51,7.943282347242822e-09,,7.392265377191218e-05
517.3166267871857,Wi-Fi 2.4 GHz,"PAQUET,3159,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-53,5.011872336272715e-09,,7.392265377191218e-05
522.4260034561157,Wi-Fi 2.4 GHz,"PAQUET,3160,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
527.5314855575562,Wi-Fi 2.4 GHz,"PAQUET,3161,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
532.1356868743896,Wi-Fi 2.4 GHz,"PAQUET,3162,TAILLE,22,Welcome to new project",-50,1e-08,,7.392265377191218e-05
537.1970951557159,Wi-Fi 2.4 GHz,"PAQUET,3163,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
542.3093931674957,Wi-Fi 2.4 GHz,"PAQUET,3164,TAILLE,22,Welcome to new project",-51,7.943282347242822e-09,,7.392265377191218e-05
547.4187500476837,Wi-Fi 2.4 GHz,"PAQUET,3165,TAILLE,62,Detection d'onde electromagnétique Université de montpellier",-50,1e-08,,7.392265377191218e-05
