temps_s,mode,message,rssi_dbm,puissance_w,snr_db,energie_totale_j
72.35310053825378,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
73.4490110874176,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
74.50646328926086,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-64,3.9810717055349694e-10,,1.1328275042330247e-06
75.57383441925049,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
76.63314771652222,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
77.7072582244873,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
78.78069186210632,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
79.85967254638672,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
80.93155264854431,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
81.99977326393127,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
83.00907897949219,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
84.01935720443726,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
85.0371367931366,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
86.04720211029053,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
87.05668759346008,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
88.07487297058105,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
89.14468264579773,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
90.1547338962555,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-70,1e-10,,1.1328275042330247e-06
91.17574691772461,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
92.18950462341309,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
93.20457625389099,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
94.25605416297913,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
95.26848006248474,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
96.29672408103943,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
97.33779668807983,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
98.36906552314758,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
99.44505333900452,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
100.47720432281494,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
101.51020908355713,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
102.5388011932373,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
103.581618309021,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
104.66188502311707,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
105.69094586372375,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
106.71819686889648,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-77,1.9952623149688828e-11,,1.1328275042330247e-06
107.74987006187439,Beacons BLE,Beacon BLE | MAC=7D:86:55:01:D3:CC,-56,2.511886431509582e-09,,1.1328275042330247e-06
108.79382824897766,Beacons BLE,Beacon BLE | MAC=55:68:80:1F:11:CC,-55,3.1622776601683795e-09,,1.1328275042330247e-06
109.87047672271729,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
110.905837059021,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
111.94751214981079,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
112.98263549804688,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
114.02260208129883,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
115.05997085571289,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
116.12284994125366,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
117.25634360313416,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
118.31413245201111,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
119.36755108833313,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
120.42046189308167,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
121.480797290802,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
122.53342938423157,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-64,3.9810717055349694e-10,,1.1328275042330247e-06
123.60148930549622,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
124.68272733688354,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
125.72813844680786,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
126.7779324054718,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
127.81854295730591,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
128.87095165252686,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
129.9375443458557,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
130.98044991493225,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
132.02071404457092,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
133.06962847709656,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
134.11170554161072,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
135.2112021446228,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
136.2677025794983,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
137.32697105407715,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
138.38928985595703,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
139.46111583709717,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
140.52215957641602,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
141.58490443229675,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
142.64856815338135,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
143.71240711212158,Beacons BLE,Beacon BLE | MAC=6C:B9:5C:6C:76:90,-79,1.2589254117941662e-11,,1.1328275042330247e-06
