index;uuid;major;minor;address;start_epoch;end_epoch;duration_ms;interval_ms;packet_count;channels;rssi_mean;tx_power
49;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711592.66662;1784711592.66662;0.0;27.846097946166992;1;39;-58.0;-56
50;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711593.006898;1784711593.006898;0.0;340.27791023254395;1;38;-57.0;-56
51;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711593.039648;1784711593.039648;0.0;32.75012969970703;1;39;-58.0;-56
52;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711593.378259;1784711593.378259;0.0;338.6108875274658;1;37;-56.0;-56
53;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711593.415944;1784711593.415944;0.0;37.68515586853027;1;38;-56.0;-56
54;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711593.454678;1784711593.454678;0.0;38.73395919799805;1;39;-58.0;-56
55;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711593.815756;1784711593.815756;0.0;361.07802391052246;1;37;-56.0;-56
56;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711593.842727;1784711593.842727;0.0;26.970863342285156;1;38;-56.0;-56
57;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711593.879828;1784711593.879828;0.0;37.101030349731445;1;39;-58.0;-56
58;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711594.192237;1784711594.192237;0.0;312.4089241027832;1;37;-56.0;-56
59;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711594.224809;1784711594.224809;0.0;32.572031021118164;1;38;-56.0;-56
60;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711594.267609;1784711594.267609;0.0;42.799949645996094;1;39;-58.0;-56
61;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711594.695861;1784711594.695861;0.0;428.2522201538086;1;37;-56.0;-56
62;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711594.717284;1784711594.734464;17.17996597290039;21.422863006591797;2;38,39;-57.0;-56
63;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711594.97944;1784711594.97944;0.0;262.15600967407227;1;37;-56.0;-56
64;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711595.006078;1784711595.006078;0.0;26.638031005859375;1;38;-56.0;-56
65;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711595.03267;1784711595.03267;0.0;26.592016220092773;1;39;-58.0;-56
66;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711595.48943;1784711595.48943;0.0;456.7599296569824;1;39;-58.0;-56
67;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711595.841636;1784711595.841636;0.0;352.2059917449951;1;37;-56.0;-56
68;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711595.873391;1784711595.873391;0.0;31.75497055053711;1;38;-56.0;-56
69;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711595.900322;1784711595.900322;0.0;26.931047439575195;1;39;-58.0;-56
70;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711596.312505;1784711596.312505;0.0;412.1830463409424;1;39;-57.0;-56
71;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711596.660819;1784711596.660819;0.0;348.3140468597412;1;38;-56.0;-56
72;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711596.688391;1784711596.688391;0.0;27.571916580200195;1;39;-56.0;-56
73;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711597.020903;1784711597.020903;0.0;332.51214027404785;1;39;-55.0;-56
74;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711597.400234;1784711597.400234;0.0;379.3308734893799;1;38;-57.0;-56
75;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711597.431605;1784711597.431605;0.0;31.371116638183594;1;39;-55.0;-56
76;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711597.843723;1784711597.843723;0.0;412.11795806884766;1;37;-61.0;-56
77;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711597.870152;1784711597.870152;0.0;26.428937911987305;1;38;-60.0;-56
78;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711597.906649;1784711597.906649;0.0;36.49711608886719;1;39;-57.0;-56
79;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711598.343646;1784711598.343646;0.0;436.9969367980957;1;37;-62.0;-56
80;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711598.370533;1784711598.382535;12.001991271972656;26.886940002441406;2;38,39;-58.5;-56
81;e20a39f4-73f5-4bc4-a12f-17d1ad07a961;0;0;65:da:fd:e0:14:4d;1784711598.763119;1784711598.763119;0.0;392.58599281311035;1;37;-62.0;-56
