temps_s,numero_paquet,taille_message,message,source,rssi_dbm,puissance_w,energie_j
468.952,412,136,"PAQUET,414,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-66,2.511886431509582e-10,2.4949560827750184e-10
469.957,413,36,"PAQUET,415,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.039794113254469e-10
470.953,414,56,"PAQUET,416,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.963607134683204e-10
471.96,415,77,"PAQUET,417,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-62,6.309573444801942e-10,6.356574404367437e-10
472.956,416,115,"PAQUET,418,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.9641557500066996e-10
473.968,417,136,"PAQUET,419,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,4.027916620198993e-10
474.96,418,36,"PAQUET,420,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-65,3.1622776601683795e-10,3.136019991656349e-10
475.968,419,56,"PAQUET,421,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,4.01334604263674e-10
476.961,420,77,"PAQUET,422,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.9564343215350084e-10
477.971,421,115,"PAQUET,423,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,4.0187942294133237e-10
478.965,422,136,"PAQUET,424,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-63,5.011872336272714e-10,4.980632256784076e-10
479.967,423,36,"PAQUET,425,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.020932246106055e-10
480.967,424,56,"PAQUET,426,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-65,3.1622776601683795e-10,3.162952441611463e-10
481.975,425,77,"PAQUET,427,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,4.015121923727156e-10
482.97,426,115,"PAQUET,428,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.958580375594565e-10
