numero_trame,nom_appareil,mac,temps_debut_s,temps_fin_s,duree_us,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
7020,Inconnu,inconnue,1783966254.039055109,1783966254.039191008,136.000,-55,37,7,0x07,LE 1M
7024,Inconnu,inconnue,1783966254.252321005,1783966254.252456903,136.000,-55,38,7,0x07,LE 1M
7025,Inconnu,inconnue,1783966254.273837090,1783966254.273972988,136.000,-60,39,7,0x07,LE 1M
7045,Inconnu,inconnue,1783966255.115499973,1783966255.115635872,136.000,-55,38,7,0x07,LE 1M
7046,Inconnu,inconnue,1783966255.157351017,1783966255.157486916,136.000,-60,39,7,0x07,LE 1M
7055,Inconnu,inconnue,1783966255.465846062,1783966255.465981960,136.000,-60,39,7,0x07,LE 1M
7062,Inconnu,inconnue,1783966255.716283083,1783966255.716418982,136.000,-55,37,7,0x07,LE 1M
7071,Inconnu,inconnue,1783966256.018094063,1783966256.018229961,136.000,-55,37,7,0x07,LE 1M
7080,Inconnu,inconnue,1783966256.550477982,1783966256.550613880,136.000,-55,37,7,0x07,LE 1M
7084,Inconnu,inconnue,1783966256.841499090,1783966256.841634989,136.000,-55,38,7,0x07,LE 1M
7085,Inconnu,inconnue,1783966256.867928028,1783966256.868063927,136.000,-60,39,7,0x07,LE 1M
7091,Inconnu,inconnue,1783966257.140192986,1783966257.140328884,136.000,-60,39,7,0x07,LE 1M
7098,Inconnu,inconnue,1783966257.490185022,1783966257.490320921,136.000,-55,37,7,0x07,LE 1M
7101,Inconnu,inconnue,1783966257.703407049,1783966257.703542948,136.000,-55,37,7,0x07,LE 1M
7104,Inconnu,inconnue,1783966258.045098066,1783966258.045233965,136.000,-55,37,7,0x07,LE 1M
7110,Inconnu,inconnue,1783966258.296578884,1783966258.296714783,136.000,-55,37,7,0x07,LE 1M
7116,Inconnu,inconnue,1783966258.877058029,1783966258.877193928,136.000,-55,37,7,0x07,LE 1M
7119,Inconnu,inconnue,1783966259.139533043,1783966259.139668941,136.000,-55,37,7,0x07,LE 1M
7122,Inconnu,inconnue,1783966259.433140993,1783966259.433276892,136.000,-55,37,7,0x07,LE 1M
7126,Inconnu,inconnue,1783966259.717628002,1783966259.717763901,136.000,-55,38,7,0x07,LE 1M
7127,Inconnu,inconnue,1783966259.744080067,1783966259.744215965,136.000,-60,39,7,0x07,LE 1M
7130,Inconnu,inconnue,1783966260.028759003,1783966260.028894901,136.000,-60,39,7,0x07,LE 1M
7135,Inconnu,inconnue,1783966260.300168991,1783966260.300304890,136.000,-55,38,7,0x07,LE 1M
