RAPPORT D'ACQUISITION BLE V4
============================

Date : 2026-07-16 15:46:14.415290
Matériel : Adafruit Bluefruit LE Sniffer nRF51822
PHY : LE 1M
Filtre : dc:a6:32:65:e5:71
Nombre d'appareils détectés : 199
Nombre de trames analysées : 503

DURÉE DES TRAMES
-----------------
Durée moyenne : 368.000 µs
Durée minimale : 368.000 µs
Durée maximale : 368.000 µs

RSSI
----
RSSI moyen : -44.27 dBm
RSSI minimal : -51 dBm
RSSI maximal : -44 dBm

RÉPARTITION PAR CANAL
---------------------
Canal 37 : 44 trames
Canal 38 : 217 trames
Canal 39 : 242 trames

APPAREILS DÉTECTÉS
-------------------
Inconnu | 43:9e:3c:b2:80:c8 | 1 trames | RSSI moyen=-95 | Durée moyenne=272.0 µs
Inconnu | b4:67:b0:c6:d7:6b | 1 trames | RSSI moyen=-90 | Durée moyenne=280.0 µs
Inconnu | e3:b4:de:53:f0:e1 | 1 trames | RSSI moyen=-78 | Durée moyenne=192.0 µs
Inconnu | b4:e5:b0:c6:d7:6d | 1 trames | RSSI moyen=-88 | Durée moyenne=280.0 µs
Inconnu | 78:42:94:f3:5c:5e | 1 trames | RSSI moyen=-87 | Durée moyenne=272.0 µs
Inconnu | 43:8e:7c:b4:e0:c1 | 1 trames | RSSI moyen=-83 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:e3:5e:de | 1 trames | RSSI moyen=-89 | Durée moyenne=272.0 µs
Inconnu | b4:e7:40:c6:d7:6d | 1 trames | RSSI moyen=-87 | Durée moyenne=280.0 µs
Inconnu | ea:23:80:06:56:c9 | 1 trames | RSSI moyen=-90 | Durée moyenne=376.0 µs
Inconnu | f2:23:c0:06:56:c9 | 1 trames | RSSI moyen=-98 | Durée moyenne=376.0 µs
Inconnu | 43:9e:7f:b2:80:ce | 1 trames | RSSI moyen=-82 | Durée moyenne=272.0 µs
Inconnu | b4:c7:b0:c6:d7:6d | 1 trames | RSSI moyen=-88 | Durée moyenne=280.0 µs
Inconnu | 78:40:95:63:5c:5e | 1 trames | RSSI moyen=-95 | Durée moyenne=272.0 µs
Inconnu | a4:e7:b0:c6:d7:6d | 1 trames | RSSI moyen=-91 | Durée moyenne=280.0 µs
Inconnu | 78:40:94:e7:5c:5e | 1 trames | RSSI moyen=-89 | Durée moyenne=272.0 µs
Inconnu | 43:9e:3c:b2:80:8c | 1 trames | RSSI moyen=-93 | Durée moyenne=272.0 µs
Inconnu | 30:17:12:20:22:a5 | 1 trames | RSSI moyen=-95 | Durée moyenne=376.0 µs
Inconnu | 5b:9e:0c:b2:80:ce | 1 trames | RSSI moyen=-83 | Durée moyenne=272.0 µs
Inconnu | 30:17:12:20:22:b5 | 1 trames | RSSI moyen=-94 | Durée moyenne=376.0 µs
Inconnu | 43:9e:3c:b2:80:ce | 1 trames | RSSI moyen=-93 | Durée moyenne=272.0 µs
Inconnu | b4:e7:a1:c6:d7:6d | 1 trames | RSSI moyen=-91 | Durée moyenne=280.0 µs
Inconnu | b4:e7:b0:c4:97:6d | 1 trames | RSSI moyen=-89 | Durée moyenne=296.0 µs
Inconnu | 78:58:94:e5:5c:5e | 1 trames | RSSI moyen=-95 | Durée moyenne=272.0 µs
Inconnu | 43:9e:7c:b2:80:cd | 1 trames | RSSI moyen=-82 | Durée moyenne=272.0 µs
Inconnu | 43:96:7c:b2:80:ce | 1 trames | RSSI moyen=-93 | Durée moyenne=272.0 µs
Inconnu | 64:2f:e0:68:a1:83 | 1 trames | RSSI moyen=-96 | Durée moyenne=272.0 µs
Inconnu | e3:b4:de:5b:30:fa | 1 trames | RSSI moyen=-91 | Durée moyenne=192.0 µs
Inconnu | 43:9e:fc:b2:80:8e | 1 trames | RSSI moyen=-89 | Durée moyenne=384.0 µs
Inconnu | f3:3b:06:fa:61:0c | 1 trames | RSSI moyen=-83 | Durée moyenne=192.0 µs
Inconnu | f1:7b:06:fa:61:0c | 1 trames | RSSI moyen=-94 | Durée moyenne=192.0 µs
Inconnu | 63:b4:be:53:f0:e2 | 1 trames | RSSI moyen=-93 | Durée moyenne=192.0 µs
Inconnu | 43:9e:7d:b2:80:cc | 1 trames | RSSI moyen=-91 | Durée moyenne=272.0 µs
Inconnu | 10:2b:06:ba:e1:08 | 1 trames | RSSI moyen=-94 | Durée moyenne=448.0 µs
Inconnu | 78:08:94:e3:5c:5e | 1 trames | RSSI moyen=-95 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:e3:5c:56 | 1 trames | RSSI moyen=-89 | Durée moyenne=528.0 µs
Inconnu | 20:13:01:20:22:b5 | 1 trames | RSSI moyen=-97 | Durée moyenne=376.0 µs
Inconnu | f7:1b:06:fa:61:0c | 1 trames | RSSI moyen=-81 | Durée moyenne=192.0 µs
Inconnu | 78:40:94:f2:5c:5e | 1 trames | RSSI moyen=-91 | Durée moyenne=272.0 µs
Inconnu | 78:40:94:c3:5c:5e | 1 trames | RSSI moyen=-79 | Durée moyenne=272.0 µs
Inconnu | 78:c0:d4:e3:5c:5e | 1 trames | RSSI moyen=-91 | Durée moyenne=272.0 µs
Inconnu | c3:cc:4d:58:08:8d | 1 trames | RSSI moyen=-96 | Durée moyenne=192.0 µs
