numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_dbm;canal;duree_estimee_us;timestamp_fin_s;company_id;donnees_brutes
80;1784203060.529696941;46.159183;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203060.530065060;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
81;1784203061.838932991;47.468419;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203061.839301109;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
82;1784203063.087587118;48.717073;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203063.087955236;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
83;1784203063.113492012;48.742978;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203063.113860130;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
84;1784203064.390589952;50.020076;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203064.390958071;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
85;1784203064.417154074;50.046640;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203064.417522192;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
86;1784203065.682631016;51.312117;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203065.682999134;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
87;1784203068.255477905;53.884964;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203068.255846024;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
88;1784203068.284542084;53.914028;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203068.284910202;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
89;1784203069.498972893;55.128459;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203069.499341011;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
90;1784203069.521127939;55.150614;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203069.521496058;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
91;1784203070.816806078;56.446292;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203070.817174196;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
