numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
11801,1784084888.273567915,1784084888.273943901,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11802,1784084888.290643930,1784084888.290779829,136.000,inconnue,-66,39,7,0x07,LE 1M
11803,1784084888.314342976,1784084888.314646959,304.000,45:ed:1f:7e:01:34,-60,37,28,0x00,LE 1M
11804,1784084888.331809044,1784084888.332113028,304.000,45:ed:1f:7e:01:34,-55,38,28,0x00,LE 1M
11805,1784084888.359620094,1784084888.359924078,304.000,45:ed:1f:7e:01:34,-53,39,28,0x00,LE 1M
11806,1784084888.383260965,1784084888.383636951,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11807,1784084888.411206007,1784084888.411581993,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11808,1784084888.444439888,1784084888.444815874,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11809,1784084888.457259893,1784084888.457539797,280.000,6c:8d:f0:9a:d6:f2,-76,37,25,0x00,LE 1M
11810,1784084888.500973940,1784084888.501349926,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11811,1784084888.527407885,1784084888.527599812,192.000,f4:45:cb:96:aa:c3,-94,39,14,0x02,LE 1M
11812,1784084888.554208040,1784084888.554343939,136.000,inconnue,-50,37,7,0x07,LE 1M
11813,1784084888.582185030,1784084888.582561016,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11814,1784084888.631086111,1784084888.631390095,304.000,45:ed:1f:7e:01:34,-53,39,28,0x00,LE 1M
11815,1784084888.658320904,1784084888.658592939,272.000,42:57:c9:d0:83:51,-78,37,24,0x00,LE 1M
11816,1784084888.682847977,1784084888.683223963,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11817,1784084888.700541019,1784084888.700917006,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11818,1784084888.717253923,1784084888.717629910,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11819,1784084888.745409012,1784084888.745544910,136.000,inconnue,-50,38,7,0x07,LE 1M
11820,1784084888.777498960,1784084888.777634859,136.000,inconnue,-66,39,7,0x07,LE 1M
11821,1784084888.816030025,1784084888.816406012,376.000,e0:90:b5:2d:f2:73,-60,37,37,0x00,LE 1M
11822,1784084888.845026016,1784084888.845402002,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11823,1784084888.868444920,1784084888.868748903,304.000,45:ed:1f:7e:01:34,-53,39,28,0x00,LE 1M
11824,1784084888.886225939,1784084888.886529922,304.000,45:ed:1f:7e:01:34,-60,37,28,0x00,LE 1M
11825,1784084888.911750078,1784084888.912054062,304.000,45:ed:1f:7e:01:34,-55,38,28,0x00,LE 1M
11826,1784084888.955463886,1784084888.955599785,136.000,inconnue,-65,39,7,0x07,LE 1M
11827,1784084888.987873077,1784084888.988065004,192.000,fb:6d:cd:74:f9:a9,-74,37,14,0x02,LE 1M
11828,1784084888.989860058,1784084888.990236044,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11829,1784084889.013711929,1784084889.014087915,376.000,e0:90:b5:2d:f2:73,-53,39,37,0x00,LE 1M
11830,1784084889.031955004,1784084889.032299042,344.000,e1:1f:39:f2:f8:45,-83,37,33,0x00,LE 1M
11831,1784084889.074625015,1784084889.075001001,376.000,e0:90:b5:2d:f2:73,-55,38,37,0x00,LE 1M
11832,1784084889.108892918,1784084889.109028816,136.000,inconnue,-65,39,7,0x07,LE 1M
11833,1784084889.136312962,1784084889.136616945,304.000,45:ed:1f:7e:01:34,-62,37,28,0x00,LE 1M
